,IDORDRE,Wilaya,Moughataa,Commune,LON,LAT,Type,Milieu,School Code,Name of the school,Locality Code,Classrooms,Divisions,Students,Teachers,Water,Electricity,Latrines,Tower_Distance,Type of Service,Tower Details,Tower_Latitude,Tower_Longitude
2341,15,13-Nouakchott,DAR NAIM,DAR NAIM,18.11649,-15.936320000000002,public,Urbain,0.0,ABDEL WEDOUD,13801001.0,10.0,6.0,353.0,11.0,1.0,0.0,0.0,0.14,3G,MC3G0050,18.11753,-15.93706
2342,46,13-Nouakchott,DAR NAIM,DAR NAIM,18.093020000000003,-15.93286,public,Urbain,0.0,ABOU BECRINE O/ VETENE,13801001.0,15.0,6.0,502.0,16.0,0.0,0.0,2.0,0.3,3G,MC3G0228,18.09139,-15.93513
2343,39,13-Nouakchott,DAR NAIM,DAR NAIM,18.088079999999998,-15.943029999999998,prive,Urbain,0.0,BAREIM TEJDID,13801001.0,8.0,6.0,126.0,9.0,1.0,1.0,2.0,0.12,3G,MR3G0059,18.08802778,-15.94188889
2344,25,13-Nouakchott,DAR NAIM,DAR NAIM,18.10899,-15.91951,public,Urbain,0.0,CHEIKH O/ ABDOUKE,13801001.0,12.0,6.0,364.0,13.0,1.0,0.0,12.0,0.27,3G,MC3G0183,18.10758333,-15.91738889
2345,53,13-Nouakchott,DAR NAIM,DAR NAIM,18.08715,-15.940729999999999,Prive,Urbain,0.0,CHEMS DINE,13801001.0,17.0,10.0,435.0,23.0,1.0,1.0,10.0,0.16,3G,MR3G0059,18.08802778,-15.94188889
2346,48,13-Nouakchott,DAR NAIM,DAR NAIM,18.12709,-15.912479999999999,Public,Urbain,1302505.0,COLLEGE DAR NAIM,13801001.0,8.0,7.0,200.0,15.0,1.0,1.0,4.0,0.75,3G,MR3G0154,18.1338,-15.9119
2347,62,13-Nouakchott,DAR NAIM,DAR NAIM,18.07495,-15.941510000000001,Public,Urbain,1302502.0,COLLEGE DAR NAIM 1,13801001.0,15.0,7.0,375.0,30.0,1.0,1.0,4.0,0.38,3G,MC3G0167,18.07216,-15.939370000000002
2348,54,13-Nouakchott,DAR NAIM,DAR NAIM,18.10247,-15.92805,Public,Urbain,0.0,COLLEGE DAR NAIM 2,13801001.0,14.0,7.0,350.0,30.0,0.0,0.0,6.0,0.05,3G,MA3G0003,18.1029,-15.9283
2349,46,13-Nouakchott,DAR NAIM,DAR NAIM,18.1185,-15.928529999999999,Public,Urbain,1302504.0,COLLEGE DAR NAIM 3,13801001.0,8.0,7.0,200.0,17.0,0.0,0.0,10.0,0.28,3G,MR3G0052,18.12099,-15.929148999999999
2350,49,13-Nouakchott,DAR NAIM,DAR NAIM,18.12461,-15.92965,Public,Urbain,1302506.0,COLLEGE DAR NAIM 5,13801001.0,12.0,7.0,300.0,14.0,0.0,1.0,8.0,0.41,3G,MR3G0052,18.12099,-15.929148999999999
