IDORDRE,Wilaya,Moughataa,Commune,LON,LAT,Type,Milieu,School Code,Name of the school,Locality Code,Classrooms,Divisions,Students,Teachers,Water,Electricity,Latrines,Tower_Distance,Type of Service,Tower Details,Tower_Latitude,Tower_Longitude
1,01-H Charghi,Amourj,Adel Bagrou,-7.03406,15.53499,Public,Urbain,1020201,adelbagrou1,1102273,7,7,557,9,1,0,12,0.29,2G,MA2G0080,15.534275,-7.027264
2,01-H Charghi,Amourj,Adel Bagrou,-7.0333,15.52849,Public,Urbain,1020203,adelbagrou3,1102273,6,7,322,7,1,0,12,0.29,2G,MA2G0080,15.534275,-7.027264
3,01-H Charghi,Amourj,Adel Bagrou,-7.0214,15.53827,Public,Urbain,1020202,adelbegurou2,1102273,6,7,363,8,1,0,4,0.29,2G,MA2G0080,15.534275,-7.027264
4,01-H Charghi,Amourj,Adel Bagrou,-7.0252,15.53598,Public,Urbain,1020243,adelbegurou4,1102273,6,7,327,7,0,0,0,0.29,2G,MA2G0080,15.534275,-7.027264
5,01-H Charghi,Amourj,Adel Bagrou,-7.60488,15.7862,Public,Rural,1020278,aganate1,1102060,1,2,93,1,0,0,0,21.92,No Service,MA2G0141,15.77411,-7.40041
6,01-H Charghi,Amourj,Adel Bagrou,-7.14671,15.85396,Public,Rural,1020256,almelse,1102055,4,5,153,3,0,0,0,1.52,2G,MA2G0079,15.857435,-7.132927
8,01-H Charghi,Amourj,Adel Bagrou,-6.54821,15.80766,Public,Rural,1020210,archane,1102113,2,1,54,1,0,0,0,59.62,No Service,MA2G0080,15.534275,-7.027264
56,01-H Charghi,Amourj,Adel Bagrou,-6.78614,15.87362,Public,Rural,1020216,Bekou,1102143,2,2,94,1,0,0,0,37.61,No Service,MA2G0079,15.857435,-7.132927
9,01-H Charghi,Amourj,Adel Bagrou,-7.89772,16.5427,Public,Rural,1020263,craeelbarke,1102054,1,2,64,1,0,0,0,7.42,2G,MA2G0079,15.857435,-7.132927
60,01-H Charghi,Amourj,Adel Bagrou,-7.04869,15.81837,Public,Rural,1020249,Dar el barka tnaked,1102202,1,1,51,1,0,0,0,10,2G,MA2G0079,15.857435,-7.132927
10,01-H Charghi,Amourj,Adel Bagrou,-7.050317,16.625667,Public,Rural,1020293,darelbaidha,1102181,1,2,63,1,0,0,0,16.69,2G,MR2G0001,15.527149,-7.03771
12,01-H Charghi,Amourj,Adel Bagrou,-7.160933,16.681283,Public,Rural,1020248,darnaime,1102007,2,2,85,1,0,0,0,14.29,2G,MR2G0001,15.527149,-7.03771
13,01-H Charghi,Amourj,Adel Bagrou,-6.67093,15.51777,Public,Rural,1020283,debayledress,1102155,1,2,107,1,0,0,0,38.22,No Service,MA2G0080,15.534275,-7.027264
15,01-H Charghi,Amourj,Adel Bagrou,-7.14816,15.55299,Public,Rural,1020205,delaha,1102012,3,2,113,1,0,0,2,12.18,2G,MR2G0001,15.527149,-7.03771
16,01-H Charghi,Amourj,Adel Bagrou,-6.67488,15.77227,Public,Rural,1020213,diebel,1102139,2,2,33,1,0,0,0,46.09,No Service,MA2G0080,15.534275,-7.027264
53,01-H Charghi,Amourj,Adel Bagrou,-6.90125,16.02118,Public,Rural,1020223,Echreirig Wahed,1102100,1,1,65,1,0,0,0,25.94,No Service,MR2G0009,16.074931,-7.137483
17,01-H Charghi,Amourj,Adel Bagrou,-7.1106,15.91477,Public,Rural,1020262,ecolvila,1102059,1,1,50,1,0,0,0,6.81,2G,MA2G0079,15.857435,-7.132927
18,01-H Charghi,Amourj,Adel Bagrou,-6.93439,15.56439,Public,Rural,1020270,eheleguelay,1102232,2,2,47,1,0,0,0,10.5,2G,MA2G0080,15.534275,-7.027264
20,01-H Charghi,Amourj,Adel Bagrou,-7.40385,15.59899,Public,Rural,1020302,ehleebeydi,1102209,1,1,90,1,0,0,0,19.48,2G,MA2G0141,15.77411,-7.40041
54,01-H Charghi,Amourj,Adel Bagrou,-7.02765,16.00644,Public,Rural,1020258,El baghdad 1,1102078,2,2,57,1,0,0,0,13.99,2G,MR2G0009,16.074931,-7.137483
55,01-H Charghi,Amourj,Adel Bagrou,-6.992,15.70976,Public,Rural,1020247,El medroum 2,1102206,1,3,82,1,0,0,0,19.88,2G,MA2G0080,15.534275,-7.027264
21,01-H Charghi,Amourj,Adel Bagrou,-7.15224,15.56639,Public,Rural,1020239,elbasra,1102013,3,2,100,1,1,0,0,13.02,2G,MR2G0001,15.527149,-7.03771
22,01-H Charghi,Amourj,Adel Bagrou,-6.7143,15.61624,Public,Rural,1020218,elmasgoul1,1102147,3,2,55,1,0,0,0,34.74,No Service,MA2G0080,15.534275,-7.027264
23,01-H Charghi,Amourj,Adel Bagrou,-6.71573,15.5848,Public,Rural,1020229,elmasgoul2,1102147,2,2,109,1,0,0,0,34.74,No Service,MA2G0080,15.534275,-7.027264
24,01-H Charghi,Amourj,Adel Bagrou,-6.81388,15.59697,Public,Rural,1020233,goubya,1102170,2,2,90,1,0,0,2,23.9,No Service,MA2G0080,15.534275,-7.027264
25,01-H Charghi,Amourj,Adel Bagrou,-6.51684,15.71794,Public,Rural,1020225,jelak,1102121,1,3,85,1,0,0,0,58.35,No Service,MA2G0080,15.534275,-7.027264
27,01-H Charghi,Amourj,Adel Bagrou,-7.0742,15.59701,Public,Rural,1020215,jrane,1102044,3,3,111,1,0,0,0,8.6,2G,MA2G0080,15.534275,-7.027264
29,01-H Charghi,Amourj,Adel Bagrou,-6.78673,15.62836,Public,Rural,1020235,leghdeia,1102176,2,2,63,1,0,0,0,27.81,No Service,MA2G0080,15.534275,-7.027264
30,01-H Charghi,Amourj,Adel Bagrou,-7.01948,15.51515,Public,Rural,1020238,lekreiss,1102272,2,2,59,1,0,0,0,2.28,2G,MA2G0080,15.534275,-7.027264
31,01-H Charghi,Amourj,Adel Bagrou,-7.08068,15.77479,Public,Rural,1020221,lguaayde,1102053,3,4,150,3,0,0,0,10.76,2G,MA2G0079,15.857435,-7.132927
32,01-H Charghi,Amourj,Adel Bagrou,-7.08711,15.58558,Public,Rural,1020287,lighatha,1102032,2,2,42,1,0,0,0,8.38,2G,MR2G0001,15.527149,-7.03771
